,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B2972D2,MSCI Inc,MSCI,0.08%,Financial Exchanges & Data,US,---,"$1,166,062,310.50 ","1,914,025"
,2670519,Exelon Corp,EXC,0.08%,Electric Utilities,US,---,"$1,152,488,978.20 ","25,736,690"
,2336747,Fifth Third Bancorp,FITB,0.08%,Diversified Banks,US,---,"$1,150,382,308.32 ","22,906,856"
,2614807,Xcel Energy Inc,XEL,0.08%,Electric Utilities,US,---,"$1,146,274,551.72 ","15,070,662"
,BMC9P69,Coinbase Global Inc,COIN,0.07%,Financial Exchanges & Data,US,---,"$1,132,021,088.38 ","5,812,987"
,2965107,Nasdaq Inc,NDAQ,0.07%,Financial Exchanges & Data,US,---,"$1,113,232,769.84 ","11,489,656"
,2573209,MetLife Inc,MET,0.07%,Life & Health Insurance,US,---,"$1,112,496,148.64 ","14,103,653"
,2852533,Public Storage,PSA,0.07%,Self-Storage REITs,US,---,"$1,110,719,904.01 ","4,021,579"
,2262530,Republic Services Inc,RSG,0.07%,Environmental & Facilities Services,US,---,"$1,102,591,561.83 ","5,126,187"
,2098876,Yum! Brands Inc,YUM,0.07%,Restaurants,US,---,"$1,099,767,063.50 ","7,072,457"
,B55PZY3,Targa Resources Corp,TRGP,0.07%,Oil & Gas Storage & Transportation,US,---,"$1,099,113,394.60 ","5,468,770"
,2317087,Entergy Corp,ETR,0.07%,Electric Utilities,US,---,"$1,091,032,680.29 ","11,377,961"
,B1W9D46,Delta Air Lines Inc,DAL,0.07%,Passenger Airlines,US,---,"$1,088,847,272.92 ","16,525,228"
,BKT9Y49,Datadog Inc,DDOG,0.07%,Application Software,US,---,"$1,072,253,417.68 ","8,291,474"
,2293819,eBay Inc,EBAY,0.07%,Broadline Retail,US,---,"$1,050,528,653.38 ","11,516,429"
,2707677,Public Service Enterprise Group Inc,PEG,0.07%,Multi-Utilities,US,---,"$1,047,375,661.48 ","12,717,043"
,2592174,Microchip Technology Inc,MCHP,0.07%,Semiconductors,US,---,"$1,045,344,529.84 ","13,769,027"
,2250687,DR Horton Inc,DHI,0.07%,Homebuilding,US,---,"$1,038,513,239.20 ","6,977,380"
,2651086,Nucor Corp,NUE,0.07%,Steel,US,---,"$1,035,792,680.16 ","5,828,228"
,2027342,American International Group Inc,AIG,0.07%,Property & Casualty Insurance,US,---,"$1,029,411,751.68 ","13,747,486"
,2868165,Sysco Corp,SYY,0.07%,Food Distributors,US,---,"$1,023,032,552.10 ","12,200,746"
,2036047,Comfort Systems USA Inc,FIX,0.07%,Construction & Engineering,US,---,"$1,022,795,091.90 ","895,539"
,2749602,Roper Technologies Inc,ROP,0.07%,Application Software,US,---,"$1,018,008,437.34 ","2,742,258"
,2931205,Vulcan Materials Co,VMC,0.07%,Construction Materials,US,---,"$1,011,511,248.84 ","3,365,646"
,2257019,Cognizant Technology Solutions Corp,CTSH,0.07%,IT Consulting & Other Services,US,---,"$1,009,249,539.32 ","12,298,922"
,2955733,Westinghouse Air Brake Technologies Corp,WAB,0.07%,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,002,366,484.96 ","4,355,464"
,2572079,Martin Marietta Materials Inc,MLM,0.07%,Construction Materials,US,---,"$1,001,208,090.35 ","1,535,713"
,BDR73G1,IQVIA Holdings Inc,IQV,0.07%,Life Sciences Tools & Services,US,---,"$998,544,900.50 ","4,338,670"
,2819118,Prudential Financial Inc,PRU,0.07%,Life & Health Insurance,US,---,"$990,961,423.62 ","8,918,742"
,2216850,Consolidated Edison Inc,ED,0.06%,Multi-Utilities,US,---,"$980,523,842.36 ","9,195,572"
,2122117,Take-Two Interactive Software Inc,TTWO,0.06%,Interactive Home Entertainment,US,---,"$974,838,955.60 ","4,425,052"
,BDT5S35,Axon Enterprise Inc,AXON,0.06%,Aerospace & Defense,US,---,"$971,793,179.98 ","2,009,581"
,B8K6ZD1,Workday Inc,WDAY,0.06%,Application Software,US,---,"$970,992,935.64 ","5,528,628"
,2520153,Agilent Technologies Inc,A,0.06%,Life Sciences Tools & Services,US,---,"$966,776,598.60 ","7,222,836"
,BTGQCX1,Crown Castle Inc,CCI,0.06%,Telecom Tower REITs,US,---,"$963,136,549.65 ","11,094,765"
,2884183,Teradyne Inc,TER,0.06%,Semiconductor Materials & Equipment,US,---,"$961,764,189.75 ","3,989,895"
,2732903,ResMed Inc,RMD,0.06%,Health Care Equipment,US,---,"$960,627,509.14 ","3,718,894"
,2476193,Hartford Insurance Group Inc/The,HIG,0.06%,Property & Casualty Insurance,US,---,"$958,896,556.92 ","7,099,782"
,BD3W133,Keurig Dr Pepper Inc,KDP,0.06%,Soft Drinks & Non-alcoholic Beverages,US,---,"$949,740,163.68 ","34,611,522"
,BQZJ0Q9,Keysight Technologies Inc,KEYS,0.06%,Electronic Equipment & Instruments,US,---,"$947,188,141.53 ","4,378,441"
,2842040,State Street Corp,STT,0.06%,Asset Management & Custody Banks,US,---,"$931,360,848.66 ","7,117,231"
,2927925,Ventas Inc,VTR,0.06%,Health Care REITs,US,---,"$929,507,880.33 ","11,967,399"
,2208073,Copart Inc,CPRT,0.06%,Diversified Support Services,US,---,"$920,556,407.24 ","22,684,978"
,2319414,EQT Corp,EQT,0.06%,Oil & Gas Exploration & Production,US,---,"$917,767,408.86 ","15,897,582"
,BYY8XK8,WEC Energy Group Inc,WEC,0.06%,Multi-Utilities,US,---,"$917,196,217.56 ","8,287,668"
,BL6JPG8,GE HealthCare Technologies Inc,GEHC,0.06%,Health Care Equipment,US,---,"$916,285,435.32 ","11,602,956"
,2497406,Kroger Co/The,KR,0.06%,Food Retail,US,---,"$913,615,316.85 ","14,536,441"
,2445966,Huntington Bancshares Inc/OH,HBAN,0.06%,Regional Banks,US,---,"$905,283,379.16 ","51,789,667"
,2740542,Arch Capital Group Ltd,ACGL,0.06%,Property & Casualty Insurance,US,---,"$883,551,481.12 ","9,199,828"
,2330299,Fair Isaac Corp,FICO,0.06%,Application Software,US,---,"$882,572,438.64 ","603,192"
,BHKD3S6,Dell Technologies Inc,DELL,0.06%,"Technology Hardware, Storage & Peripherals",US,---,"$878,915,107.16 ","7,680,139"
,2342034,Fiserv Inc,FISV,0.06%,Transaction & Payment Processing Services,US,---,"$873,450,176.67 ","13,705,479"
,2340168,M&T Bank Corp,MTB,0.06%,Regional Banks,US,---,"$867,571,515.48 ","3,915,564"
,2689560,PG&E Corp,PCG,0.06%,Electric Utilities,US,---,"$863,424,226.38 ","55,993,789"
,B3P2CN8,Xylem Inc/NY,XYL,0.06%,Industrial Machinery & Supplies & Components,US,---,"$855,205,266.21 ","6,202,983"
,2674458,Paychex Inc,PAYX,0.06%,Human Resource & Employment Services,US,---,"$851,042,476.29 ","8,252,133"
,B1WT4X2,Interactive Brokers Group Inc,IBKR,0.06%,Investment Banking & Brokerage,US,---,"$849,526,179.84 ","11,345,168"
,BQ84ZQ6,Kenvue Inc,KVUE,0.06%,Personal Care Products,US,---,"$849,183,283.80 ","48,803,637"
,BK531S8,Otis Worldwide Corp,OTIS,0.06%,Industrial Machinery & Supplies & Components,US,---,"$848,375,808.14 ","9,931,817"
,2491839,Kimberly-Clark Corp,KMB,0.06%,Household Products,US,---,"$845,391,352.41 ","8,454,759"
,B4QG225,United Airlines Holdings Inc,UAL,0.06%,Passenger Airlines,US,---,"$843,918,374.88 ","8,247,834"
,BYNZGK1,Block Inc,XYZ,0.06%,Transaction & Payment Processing Services,US,---,"$843,019,348.35 ","13,950,345"
,B3Z5T14,Garmin Ltd,GRMN,0.06%,Consumer Electronics,US,---,"$839,848,949.24 ","4,165,091"
,2655408,Occidental Petroleum Corp,OXY,0.06%,Integrated Oil & Gas,US,---,"$831,691,727.43 ","18,323,237"
,2523044,Carnival Corp,CCL,0.05%,"Hotels, Resorts & Cruise Lines",US,---,"$830,393,847.08 ","27,661,354"
,2047317,Archer-Daniels-Midland Co,ADM,0.05%,Agricultural Products & Services,US,---,"$824,107,629.15 ","12,243,465"
,2474164,EMCOR Group Inc,EME,0.05%,Construction & Engineering,US,---,"$822,001,213.76 ","1,140,512"
,2656423,Old Dominion Freight Line Inc,ODFL,0.05%,Cargo Ground Transportation,US,---,"$811,527,734.00 ","4,685,495"
,B5B1S13,Dollar General Corp,DG,0.05%,Consumer Staples Merchandise Retail,US,---,"$804,298,928.58 ","5,607,606"
,B748CK2,Expedia Group Inc,EXPE,0.05%,"Hotels, Resorts & Cruise Lines",US,---,"$789,321,455.64 ","2,980,371"
,BL5GZ82,Ingersoll Rand Inc,IR,0.05%,Industrial Machinery & Supplies & Components,US,---,"$788,455,781.54 ","9,158,506"
,BF14BT1,Ares Management Corp,ARES,0.05%,Asset Management & Custody Banks,US,---,"$785,559,159.36 ","5,248,608"
,B7Y8YR3,Diamondback Energy Inc,FANG,0.05%,Oil & Gas Exploration & Production,US,---,"$778,138,342.35 ","4,746,193"
,BDB6Q21,Willis Towers Watson PLC,WTW,0.05%,Insurance Brokers,US,---,"$774,390,919.79 ","2,439,257"
,B4P9W92,Verisk Analytics Inc,VRSK,0.05%,Research & Consulting Services,US,---,"$772,125,653.76 ","3,550,656"
,B02HWR9,Extra Space Storage Inc,EXR,0.05%,Self-Storage REITs,US,---,"$746,074,982.52 ","5,407,516"
,2212922,NRG Energy Inc,NRG,0.05%,Electric Utilities,US,---,"$744,824,326.42 ","4,879,934"
,2718992,Raymond James Financial Inc,RJF,0.05%,Investment Banking & Brokerage,US,---,"$744,590,653.92 ","4,489,272"
,2503477,Teledyne Technologies Inc,TDY,0.05%,Electronic Equipment & Instruments,US,---,"$742,525,772.90 ","1,197,043"
,B28TS42,Ulta Beauty Inc,ULTA,0.05%,Other Specialty Retail,US,---,"$739,510,401.28 ","1,142,348"
,2422806,Hershey Co/The,HSY,0.05%,Packaged Foods & Meats,US,---,"$735,159,243.25 ","3,774,887"
,2769796,Fidelity National Information Services Inc,FIS,0.05%,Transaction & Payment Processing Services,US,---,"$729,062,093.50 ","13,195,694"
,B0796X4,Dexcom Inc,DXCM,0.05%,Health Care Equipment,US,---,"$725,623,403.12 ","9,934,603"
,BYVYWS0,Hewlett Packard Enterprise Co,HPE,0.05%,"Technology Hardware, Storage & Peripherals",US,---,"$723,468,549.04 ","33,618,427"
,2320524,Estee Lauder Cos Inc/The,EL,0.05%,Personal Care Products,US,---,"$722,065,732.96 ","6,263,582"
,2648668,Northern Trust Corp,NTRS,0.05%,Asset Management & Custody Banks,US,---,"$719,953,142.28 ","4,817,996"
,2405302,Halliburton Co,HAL,0.05%,Oil & Gas Equipment & Services,US,---,"$718,479,914.80 ","21,434,365"
,2126249,Mettler-Toledo International Inc,MTD,0.05%,Life Sciences Tools & Services,US,---,"$713,723,637.88 ","519,737"
,2050832,Ameren Corp,AEE,0.05%,Multi-Utilities,US,---,"$711,738,731.28 ","6,891,351"
,2280220,DTE Energy Co,DTE,0.05%,Multi-Utilities,US,---,"$711,019,496.18 ","5,291,111"
,BYWH073,VICI Properties Inc,VICI,0.05%,Other Specialized REITs,US,---,"$707,768,867.52 ","25,205,444"
,B5834C5,Cboe Global Markets Inc,CBOE,0.05%,Financial Exchanges & Data,US,---,"$706,660,297.34 ","2,666,039"
,2278407,Dover Corp,DOV,0.05%,Industrial Machinery & Supplies & Components,US,---,"$704,048,574.39 ","3,494,211"
,BVFTF03,Iron Mountain Inc,IRM,0.05%,Other Specialized REITs,US,---,"$693,823,475.34 ","7,530,918"
,BQRX1X3,Citizens Financial Group Inc,CFG,0.05%,Regional Banks,US,---,"$688,961,837.50 ","10,939,375"
,2900335,Tractor Supply Co,TSCO,0.05%,Other Specialty Retail,US,---,"$684,816,154.56 ","13,459,437"
,2680905,PPL Corp,PPL,0.05%,Electric Utilities,US,---,"$683,134,295.00 ","18,845,084"
,BMZ5LZ5,Expand Energy Corp,EXE,0.05%,Oil & Gas Exploration & Production,US,---,"$682,085,557.17 ","6,067,837"
,2315359,Atmos Energy Corp,ATO,0.04%,Gas Utilities,US,---,"$680,283,359.44 ","4,089,716"
,2455965,Biogen Inc,BIIB,0.04%,Biotechnology,US,---,"$672,369,096.52 ","3,737,668"
,BP96PS6,Synchrony Financial,SYF,0.04%,Consumer Finance,US,---,"$666,520,280.64 ","9,176,928"
,2262864,CoStar Group Inc,CSGP,0.04%,Real Estate Services,US,---,"$664,062,486.00 ","10,797,764"
,BF09HX3,Tapestry Inc,TPR,0.04%,"Apparel, Accessories & Luxury Goods",US,---,"$661,841,995.50 ","5,215,050"
,BVVN4Q8,Eversource Energy,ES,0.04%,Electric Utilities,US,---,"$660,969,005.11 ","9,561,247"
,2698470,PPG Industries Inc,PPG,0.04%,Specialty Chemicals,US,---,"$660,772,838.35 ","5,714,545"
,BDFG6S3,Hubbell Inc,HUBB,0.04%,Electrical Components & Equipment,US,---,"$660,138,417.46 ","1,352,909"
,2440637,CenterPoint Energy Inc,CNP,0.04%,Multi-Utilities,US,---,"$660,069,665.01 ","16,630,629"
,BFY8C75,STERIS PLC,STE,0.04%,Health Care Equipment,US,---,"$656,672,528.20 ","2,500,657"
,2471789,Jabil Inc,JBL,0.04%,Electronic Manufacturing Services,US,---,"$645,579,235.39 ","2,721,781"
,2480677,Devon Energy Corp,DVN,0.04%,Oil & Gas Exploration & Production,US,---,"$642,314,982.31 ","15,974,011"
,B2R3PV1,American Water Works Co Inc,AWK,0.04%,Water Utilities,US,---,"$641,961,918.07 ","4,971,439"
,2131179,AvalonBay Communities Inc,AVB,0.04%,Multi-Family Residential REITs,US,---,"$640,173,259.53 ","3,603,159"
,2196888,Cincinnati Financial Corp,CINF,0.04%,Property & Casualty Insurance,US,---,"$639,497,205.72 ","3,974,748"
,B01R311,Regions Financial Corp,RF,0.04%,Regional Banks,US,---,"$636,834,609.00 ","22,345,074"
,2967589,Williams-Sonoma Inc,WSM,0.04%,Homefurnishing Retail,US,---,"$634,972,466.60 ","3,102,724"
,2367026,General Mills Inc,GIS,0.04%,Packaged Foods & Meats,US,---,"$628,540,263.72 ","13,587,122"
,2319146,Equifax Inc,EFX,0.04%,Research & Consulting Services,US,---,"$628,003,667.40 ","3,118,191"
,2849472,Steel Dynamics Inc,STLD,0.04%,Steel,US,---,"$628,000,464.22 ","3,497,246"
,2100920,FirstEnergy Corp,FE,0.04%,Electric Utilities,US,---,"$626,981,232.78 ","13,244,217"
,BPGMZQ5,Veralto Corp,VLTO,0.04%,Environmental & Facilities Services,US,---,"$626,121,943.16 ","6,325,742"
,2279303,Omnicom Group Inc,OMC,0.04%,Advertising,US,---,"$626,028,452.61 ","8,126,018.34"
,2831543,Southwest Airlines Co,LUV,0.04%,Passenger Airlines,US,---,"$625,850,470.08 ","13,170,254"
,2708841,PulteGroup Inc,PHM,0.04%,Homebuilding,US,---,"$620,968,275.48 ","4,964,172"
,B1HMF22,First Solar Inc,FSLR,0.04%,Semiconductors,US,---,"$616,532,439.52 ","2,733,826"
,2583576,ON Semiconductor Corp,ON,0.04%,Semiconductors,US,---,"$614,193,210.95 ","10,255,355"
,BDV82B8,Leidos Holdings Inc,LDOS,0.04%,Research & Consulting Services,US,---,"$613,351,659.96 ","3,257,657"
,2829515,Edison International,EIX,0.04%,Electric Utilities,US,---,"$610,391,208.24 ","9,800,758"
,2511920,Lennar Corp,LEN,0.04%,Homebuilding,US,---,"$601,285,797.45 ","5,498,727"
,2445063,Humana Inc,HUM,0.04%,Managed Health Care,US,---,"$598,153,702.40 ","3,064,312"
,2289874,Darden Restaurants Inc,DRI,0.04%,Restaurants,US,---,"$590,757,378.30 ","2,963,418"
,2195841,Church & Dwight Co Inc,CHD,0.04%,Household Products,US,---,"$588,906,106.25 ","6,118,505"
,2702337,T Rowe Price Group Inc,TROW,0.04%,Asset Management & Custody Banks,US,---,"$587,561,249.20 ","5,559,815"
,2116228,CH Robinson Worldwide Inc,CHRW,0.04%,Air Freight & Logistics,US,---,"$586,738,285.70 ","3,009,686"
,B1VP7R6,Broadridge Financial Solutions Inc,BR,0.04%,Data Processing & Outsourced Services,US,---,"$586,124,127.79 ","2,973,589"
,B0T7YX2,Live Nation Entertainment Inc,LYV,0.04%,Movies & Entertainment,US,---,"$585,079,606.60 ","4,022,548"
,BSBK800,Labcorp Holdings Inc,LH,0.04%,Health Care Services,US,---,"$573,492,868.64 ","2,112,157"
,2272476,Dollar Tree Inc,DLTR,0.04%,Consumer Staples Merchandise Retail,US,---,"$568,422,534.24 ","4,833,936"
,2170473,Constellation Brands Inc,STZ,0.04%,Distillers & Vintners,US,---,"$562,770,186.20 ","3,591,386"
,2937689,Waters Corp,WAT,0.04%,Life Sciences Tools & Services,US,---,"$562,300,310.88 ","1,516,779"
,BMX5GK7,Corpay Inc,CPAY,0.04%,Transaction & Payment Processing Services,US,---,"$560,748,688.24 ","1,782,248"
,2162340,Coterra Energy Inc,CTRA,0.04%,Oil & Gas Exploration & Production,US,---,"$559,550,077.50 ","19,395,150"
,2219224,CMS Energy Corp,CMS,0.04%,Multi-Utilities,US,---,"$554,456,494.29 ","7,755,721"
,BRK49M5,Smurfit Westrock PLC,SW,0.04%,Paper & Plastic Packaging Products & Materials,US,---,"$553,845,811.41 ","13,304,007"
,2637785,NVR Inc,NVR,0.04%,Homebuilding,US,---,"$552,132,000.57 ","72,309"
,2319157,Equity Residential,EQR,0.04%,Multi-Family Residential REITs,US,---,"$549,740,050.72 ","8,821,246"
,2325507,Expeditors International of Washington Inc,EXPD,0.04%,Air Freight & Logistics,US,---,"$548,299,486.30 ","3,415,345"
,2465254,International Paper Co,IP,0.04%,Paper & Plastic Packaging Products & Materials,US,---,"$542,422,419.84 ","13,452,937"
,2692687,Brown & Brown Inc,BRO,0.04%,Insurance Brokers,US,---,"$539,509,663.70 ","7,482,797"
,2645409,NiSource Inc,NI,0.04%,Multi-Utilities,US,---,"$538,575,833.77 ","12,160,213"
,2702791,Quest Diagnostics Inc,DGX,0.04%,Health Care Services,US,---,"$530,063,780.33 ","2,834,111"
,2093644,W R Berkley Corp,WRB,0.03%,Property & Casualty Insurance,US,---,"$524,727,114.12 ","7,651,314"
,BV7DQ55,Amcor PLC,AMCR,0.03%,Paper & Plastic Packaging Products & Materials,US,---,"$520,338,652.80 ","11,759,065.60"
,2142922,VeriSign Inc,VRSN,0.03%,Internet Services & Infrastructure,US,---,"$519,010,974.93 ","2,125,091"
,BYRY499,Kraft Heinz Co/The,KHC,0.03%,Packaged Foods & Meats,US,---,"$515,443,378.54 ","21,712,021"
,2807061,Centene Corp,CNC,0.03%,Managed Health Care,US,---,"$515,137,440.72 ","11,891,446"
,BM99VY2,Texas Pacific Land Corp,TPL,0.03%,Oil & Gas Exploration & Production,US,---,"$514,088,089.68 ","1,475,738"
,BW1P234,Qnity Electronics Inc,Q,0.03%,Semiconductor Materials & Equipment,US,---,"$513,199,937.04 ","5,335,828"
,2046853,Albemarle Corp,ALB,0.03%,Specialty Chemicals,US,---,"$511,626,888.54 ","2,998,458"
,2490911,KeyCorp,KEY,0.03%,Diversified Banks,US,---,"$509,212,652.96 ","23,662,298"
,2504566,Packaging Corp of America,PKG,0.03%,Paper & Plastic Packaging Products & Materials,US,---,"$506,739,896.05 ","2,276,971"
,BZ6TS23,SBA Communications Corp,SBAC,0.03%,Telecom Tower REITs,US,---,"$499,748,552.22 ","2,714,402"
,BHXCF84,Dow Inc,DOW,0.03%,Commodity Chemicals,US,---,"$499,191,508.70 ","18,119,474"
,2367480,Genuine Parts Co,GPC,0.03%,Distributors,US,---,"$492,612,249.72 ","3,544,228"
,2818740,Snap-on Inc,SNA,0.03%,Industrial Machinery & Supplies & Components,US,---,"$485,097,214.44 ","1,325,004"
,2803014,Principal Financial Group Inc,PFG,0.03%,Life & Health Insurance,US,---,"$482,709,601.28 ","5,096,174"
,B23FN39,Lululemon Athletica Inc,LULU,0.03%,"Apparel, Accessories & Luxury Goods",US,---,"$479,733,655.00 ","2,749,190"
,2630643,NetApp Inc,NTAP,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$476,601,248.70 ","4,946,562"
,B95N910,PTC Inc,PTC,0.03%,Application Software,US,---,"$476,516,254.24 ","3,052,048"
,2747305,Rollins Inc,ROL,0.03%,Environmental & Facilities Services,US,---,"$473,618,452.66 ","7,477,399"
,2958936,Weyerhaeuser Co,WY,0.03%,Timber REITs,US,---,"$473,420,774.84 ","18,363,878"
,2909730,Tyson Foods Inc,TSN,0.03%,Packaged Foods & Meats,US,---,"$470,930,586.37 ","7,208,489"
,BK0VN47,DuPont de Nemours Inc,DD,0.03%,Specialty Chemicals,US,---,"$468,699,175.44 ","10,671,657"
,BYX4D52,HP Inc,HPQ,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$462,831,894.00 ","23,808,225"
,BZ6VT82,Charter Communications Inc,CHTR,0.03%,Cable & Satellite,US,---,"$462,324,686.56 ","2,242,988"
,B1XGNW4,Insulet Corp,PODD,0.03%,Health Care Equipment,US,---,"$458,465,751.72 ","1,792,212"
,2523022,Loews Corp,L,0.03%,Property & Casualty Insurance,US,---,"$455,486,304.51 ","4,314,543"
,2464165,International Flavors & Fragrances Inc,IFF,0.03%,Specialty Chemicals,US,---,"$455,475,973.29 ","6,524,509"
,BFMXGR0,Evergy Inc,EVRG,0.03%,Electric Utilities,US,---,"$450,030,504.14 ","5,865,118"
,2267278,Deckers Outdoor Corp,DECK,0.03%,Footwear,US,---,"$443,398,938.84 ","3,715,426"
,2783815,Zimmer Biomet Holdings Inc,ZBH,0.03%,Health Care Equipment,US,---,"$439,639,677.69 ","5,049,267"
,BLS09M3,Pentair PLC,PNR,0.03%,Industrial Machinery & Supplies & Components,US,---,"$439,299,858.29 ","4,169,117"
,2973821,Alliant Energy Corp,LNT,0.03%,Electric Utilities,US,---,"$431,645,249.10 ","6,549,010"
,BYT3MK1,Fortive Corp,FTV,0.03%,Industrial Machinery & Supplies & Components,US,---,"$427,410,341.60 ","8,093,360"
,2712013,Global Payments Inc,GPN,0.03%,Transaction & Payment Processing Services,US,---,"$424,971,331.54 ","5,923,771"
,2433530,Hologic Inc,HOLX,0.03%,Health Care Equipment,US,---,"$424,879,175.64 ","5,670,348"
,2950482,West Pharmaceutical Services Inc,WST,0.03%,Life Sciences Tools & Services,US,---,"$423,645,733.44 ","1,833,012"
,B40SSC9,Huntington Ingalls Industries Inc,HII,0.03%,Aerospace & Defense,US,---,"$420,990,222.42 ","1,001,142"
,2471950,Incyte Corp,INCY,0.03%,Biotechnology,US,---,"$420,448,307.94 ","4,201,542"
,BBM5MD6,CDW Corp/DE,CDW,0.03%,Technology Distributors,US,---,"$419,230,195.23 ","3,316,957"
,BTDN8H1,Aptiv PLC,APTV,0.03%,Automotive Parts & Equipment,US,---,"$416,809,224.00 ","5,502,432"
,2316619,Essex Property Trust Inc,ESS,0.03%,Multi-Family Residential REITs,US,---,"$413,310,106.42 ","1,640,966"
,BQPDXR3,Cooper Cos Inc/The,COO,0.03%,Health Care Supplies,US,---,"$411,999,108.04 ","5,062,658"
,BNGC0D3,Jacobs Solutions Inc,J,0.03%,Research & Consulting Services,US,---,"$411,927,567.00 ","3,045,450"
,2903958,Trimble Inc,TRMB,0.03%,Application Software,US,---,"$409,758,346.40 ","6,061,514"
,B02T2J7,Las Vegas Sands Corp,LVS,0.03%,Casinos & Gaming,US,---,"$408,588,792.81 ","7,748,697"
,2909644,Tyler Technologies Inc,TYL,0.03%,Application Software,US,---,"$405,291,273.40 ","1,097,161"
,2427599,F5 Inc,FFIV,0.03%,Communications Equipment,US,---,"$404,556,618.99 ","1,467,859"
,2442053,Lennox International Inc,LII,0.03%,Building Products,US,---,"$403,132,752.24 ","814,278"
,2589132,Mid-America Apartment Communities Inc,MAA,0.03%,Multi-Family Residential REITs,US,---,"$400,537,528.70 ","2,982,409"
,2550161,McCormick & Co Inc/MD,MKC,0.03%,Packaged Foods & Meats,US,---,"$398,910,404.07 ","6,451,729"
,2885937,Textron Inc,TXT,0.03%,Aerospace & Defense,US,---,"$395,141,863.34 ","4,487,189"
,BQ6BPG9,Bunge Global SA,BG,0.03%,Agricultural Products & Services,US,---,"$392,743,194.48 ","3,448,746"
,BGSXTS3,Moderna Inc,MRNA,0.03%,Biotechnology,US,---,"$390,399,912.24 ","8,858,632"
,2445416,JB Hunt Transport Services Inc,JBHT,0.03%,Cargo Ground Transportation,US,---,"$388,548,964.16 ","1,916,678"
,2073022,Ball Corp,BALL,0.03%,"Metal, Glass & Plastic Containers",US,---,"$388,142,185.86 ","6,825,078"
,BJJMGL2,Fox Corp,FOXA,0.03%,Broadcasting,US,---,"$386,614,856.34 ","5,312,103"
,2372763,Gartner Inc,IT,0.03%,IT Consulting & Other Services,US,---,"$384,801,409.17 ","1,835,797"
,BD81GW9,Invitation Homes Inc,INVH,0.03%,Single-Family Residential REITs,US,---,"$384,016,438.08 ","14,366,496"
,BMWS3X9,Viatris Inc,VTRS,0.03%,Pharmaceuticals,US,---,"$383,940,263.63 ","29,330,807"
,2456612,IDEX Corp,IEX,0.03%,Industrial Machinery & Supplies & Components,US,---,"$378,629,886.25 ","1,906,975"
,2641838,Nordson Corp,NDSN,0.02%,Industrial Machinery & Supplies & Components,US,---,"$373,360,250.94 ","1,359,998"
,BRC3N73,Super Micro Computer Inc,SMCI,0.02%,"Technology Hardware, Storage & Peripherals",US,---,"$371,894,572.12 ","12,775,492"
,B0G4K50,CF Industries Holdings Inc,CF,0.02%,Fertilizers & Agricultural Chemicals,US,---,"$370,580,766.07 ","3,974,909"
,2066408,Avery Dennison Corp,AVY,0.02%,Paper & Plastic Packaging Products & Materials,US,---,"$365,310,744.24 ","1,969,224"
,2491594,Kimco Realty Corp,KIM,0.02%,Retail REITs,US,---,"$363,705,044.80 ","17,253,560"
,BFRT3W7,Allegion plc,ALLE,0.02%,Building Products,US,---,"$362,505,275.19 ","2,191,821"
,2507457,Akamai Technologies Inc,AKAM,0.02%,Internet Services & Infrastructure,US,---,"$356,210,675.75 ","3,666,605"
,2556868,Everest Group Ltd,EG,0.02%,Reinsurance,US,---,"$353,987,256.32 ","1,068,544"
,2204026,Clorox Co/The,CLX,0.02%,Household Products,US,---,"$350,505,188.89 ","3,107,591"
,2570200,Masco Corp,MAS,0.02%,Building Products,US,---,"$349,716,292.44 ","5,291,516"
,B4V9661,Ralph Lauren Corp,RL,0.02%,"Apparel, Accessories & Luxury Goods",US,---,"$348,662,290.06 ","986,566"
,BWFRFC6,GoDaddy Inc,GDDY,0.02%,Internet Services & Infrastructure,US,---,"$345,836,044.40 ","3,440,470"
,BJN4XN5,Gen Digital Inc,GEN,0.02%,Systems Software,US,---,"$342,892,380.62 ","14,293,138"
,BQBBFD1,TKO Group Holdings Inc,TKO,0.02%,Movies & Entertainment,US,---,"$342,225,484.30 ","1,689,335"
,BD8FDD1,Trade Desk Inc/The,TTD,0.02%,Advertising,US,---,"$340,089,380.10 ","11,212,970"
,2469193,Jack Henry & Associates Inc,JKHY,0.02%,Transaction & Payment Processing Services,US,---,"$330,502,307.78 ","1,844,218"
,B01SD70,Domino's Pizza Inc,DPZ,0.02%,Restaurants,US,---,"$324,515,635.45 ","790,865"
,2094670,Best Buy Co Inc,BBY,0.02%,Computer & Electronics Retail,US,---,"$323,908,174.80 ","4,975,548"
,B0BV2M7,Builders FirstSource Inc,BLDR,0.02%,Building Products,US,---,"$322,285,506.40 ","2,817,181"
,B3SPXZ3,LyondellBasell Industries NV,LYB,0.02%,Commodity Chemicals,US,---,"$321,312,845.00 ","6,557,405"
,2305844,Revvity Inc,RVTY,0.02%,Life Sciences Tools & Services,US,---,"$314,001,152.00 ","2,886,040"
